modelo,precision,umbral,frontera,n_medidas,media_ms,sd_ms,mediana_ms,p95_ms,fps,media_rep_min,media_rep_max
faster_rcnn,FP32,comun,A,1122,181.0605,7.1890,182.7381,189.6535,5.5230,180.3548,181.7018
faster_rcnn,FP32,comun,B,1122,198.6317,7.8230,199.8410,208.8119,5.0344,197.4675,200.7598
faster_rcnn,FP32,operativo,A,1122,180.3196,7.0180,181.9565,189.4354,5.5457,180.2581,180.4148
faster_rcnn,FP32,operativo,B,1122,194.8635,6.8917,195.8205,204.2684,5.1318,193.7184,195.7380
mask_rcnn,FP32,comun,A,1122,185.1987,7.4278,185.9027,195.9979,5.3996,184.8876,185.6201
mask_rcnn,FP32,comun,B,1122,201.0699,7.6442,201.5215,212.9146,4.9734,200.7272,201.3666
mask_rcnn,FP32,operativo,A,1122,184.5720,6.9120,185.6959,193.9347,5.4179,184.2814,184.8583
mask_rcnn,FP32,operativo,B,1122,203.2668,7.2407,203.9253,214.1225,4.9196,202.6580,203.8071
yolov8_det,FP32,comun,A,1122,11.8131,1.9062,11.3012,15.4899,84.6516,11.6443,12.0366
yolov8_det,FP32,comun,B,1122,24.3306,4.7730,23.4207,30.5094,41.1006,23.7254,24.9738
yolov8_seg,FP32,comun,A,1122,14.6176,2.2559,13.9516,18.9920,68.4106,14.4568,14.7159
yolov8_seg,FP32,comun,B,1122,30.2008,3.9899,29.2395,38.6630,33.1117,29.4199,30.6826
