umbral,frontera,medida,estimado,ic95_inf,ic95_sup
comun,A,media_ms_yolov8_det,11.8131,11.6945,11.9357
comun,A,media_ms_faster_rcnn,181.0605,180.3549,181.7039
comun,A,media_ms_yolov8_seg,14.6176,14.4746,14.7742
comun,A,media_ms_mask_rcnn,185.1987,184.4906,185.9004
comun,A,razon_faster_rcnn_sobre_yolov8_det,15.3271,15.1573,15.4839
comun,A,razon_mask_rcnn_sobre_yolov8_seg,12.6696,12.5270,12.8104
comun,B,media_ms_yolov8_det,24.3306,24.0342,24.6674
comun,B,media_ms_faster_rcnn,198.6317,197.9722,199.3075
comun,B,media_ms_yolov8_seg,30.2008,29.8770,30.5137
comun,B,media_ms_mask_rcnn,201.0699,200.3640,201.7775
comun,B,razon_faster_rcnn_sobre_yolov8_det,8.1639,8.0459,8.2764
comun,B,razon_mask_rcnn_sobre_yolov8_seg,6.6578,6.5866,6.7349
operativo,A,media_ms_yolov8_det,11.8131,11.6895,11.9390
operativo,A,media_ms_faster_rcnn,180.3196,179.6661,180.9443
operativo,A,media_ms_yolov8_seg,14.6176,14.4751,14.7659
operativo,A,media_ms_mask_rcnn,184.5720,183.9573,185.1808
operativo,A,razon_faster_rcnn_sobre_yolov8_det,15.2643,15.0969,15.4325
operativo,A,razon_mask_rcnn_sobre_yolov8_seg,12.6267,12.4897,12.7643
operativo,B,media_ms_yolov8_det,24.3306,24.0249,24.6574
operativo,B,media_ms_faster_rcnn,194.8635,194.2369,195.4545
operativo,B,media_ms_yolov8_seg,30.2008,29.8898,30.5282
operativo,B,media_ms_mask_rcnn,203.2668,202.5675,203.8782
operativo,B,razon_faster_rcnn_sobre_yolov8_det,8.0090,7.8954,8.1174
operativo,B,razon_mask_rcnn_sobre_yolov8_seg,6.7305,6.6537,6.8005
