modelo,precision,umbral,frontera,n_medidas,media_ms,sd_ms,mediana_ms,p95_ms,fps,media_rep_min,media_rep_max
faster_rcnn,FP32,comun,A,1122,1533.1783,63.8780,1556.8196,1588.2258,0.6522,1518.4016,1541.2770
faster_rcnn,FP32,comun,B,1122,1545.0085,64.4566,1565.4724,1601.5222,0.6472,1536.5397,1561.8584
faster_rcnn,FP32,operativo,A,1122,1536.4758,275.9250,1545.6816,1584.5018,0.6508,1516.6370,1550.8129
faster_rcnn,FP32,operativo,B,1122,1549.3556,64.6867,1578.2738,1605.1050,0.6454,1534.8446,1557.9270
mask_rcnn,FP32,comun,A,1122,1515.5425,63.2561,1540.8352,1566.4129,0.6598,1514.3692,1517.4983
mask_rcnn,FP32,comun,B,1122,1531.0127,63.8666,1556.4894,1582.5559,0.6532,1530.8584,1531.2015
mask_rcnn,FP32,operativo,A,1122,1513.7372,62.5923,1540.4987,1558.0385,0.6606,1513.3841,1514.1723
mask_rcnn,FP32,operativo,B,1122,1529.3918,63.4846,1555.6995,1576.9184,0.6539,1529.3654,1529.4174
yolov8_det,FP32,comun,A,1122,14.3091,1.2472,14.0122,16.8545,69.8854,14.0711,14.4903
yolov8_det,FP32,comun,B,1122,33.1812,6.9827,32.3108,39.1118,30.1375,32.1548,34.7235
yolov8_seg,FP32,comun,A,1122,12.9697,2.6615,12.0495,18.1192,77.1025,12.7653,13.3190
yolov8_seg,FP32,comun,B,1122,28.9386,3.5836,28.2805,35.8528,34.5560,28.4290,29.3294
