umbral,frontera,medida,estimado,ic95_inf,ic95_sup
comun,A,media_ms_yolov8_det,14.3091,14.2340,14.3873
comun,A,media_ms_faster_rcnn,1533.1783,1526.7574,1539.6288
comun,A,media_ms_yolov8_seg,12.9697,12.7987,13.1461
comun,A,media_ms_mask_rcnn,1515.5425,1508.9542,1522.1934
comun,A,razon_faster_rcnn_sobre_yolov8_det,107.1468,106.4088,107.8172
comun,A,razon_mask_rcnn_sobre_yolov8_seg,116.8522,115.2525,118.4870
comun,B,media_ms_yolov8_det,33.1812,32.7588,33.6413
comun,B,media_ms_faster_rcnn,1545.0085,1538.8691,1551.5055
comun,B,media_ms_yolov8_seg,28.9386,28.6590,29.2246
comun,B,media_ms_mask_rcnn,1531.0127,1524.5561,1537.6712
comun,B,razon_faster_rcnn_sobre_yolov8_det,46.5627,45.8375,47.2425
comun,B,razon_mask_rcnn_sobre_yolov8_seg,52.9056,52.2809,53.5431
operativo,A,media_ms_yolov8_det,14.3091,14.2311,14.3864
operativo,A,media_ms_faster_rcnn,1536.4758,1523.2464,1555.1293
operativo,A,media_ms_yolov8_seg,12.9697,12.8064,13.1511
operativo,A,media_ms_mask_rcnn,1513.7372,1507.3175,1519.7694
operativo,A,razon_faster_rcnn_sobre_yolov8_det,107.3773,106.2642,108.8259
operativo,A,razon_mask_rcnn_sobre_yolov8_seg,116.7130,115.1064,118.2703
operativo,B,media_ms_yolov8_det,33.1812,32.7694,33.6431
operativo,B,media_ms_faster_rcnn,1549.3556,1542.7474,1555.3895
operativo,B,media_ms_yolov8_seg,28.9386,28.6596,29.2216
operativo,B,media_ms_mask_rcnn,1529.3918,1522.8178,1535.3730
operativo,B,razon_faster_rcnn_sobre_yolov8_det,46.6937,45.9601,47.3641
operativo,B,razon_mask_rcnn_sobre_yolov8_seg,52.8496,52.2170,53.4798
