modelo,tipo,umbral,n_predicciones,mAP50,mAP50_95
yolov8_det,bbox,0.001 (estandar),12025,0.6908173562440999,0.49556730482333594
yolov8_det,bbox,0.25 (comun),800,0.6220849977224011,0.46122554361745904
yolov8_det,bbox,0.25 (operativo),800,0.6220849977224011,0.46122554361745904
faster_rcnn,bbox,0.001 (estandar),22798,0.5686349279864016,0.3699024973221125
faster_rcnn,bbox,0.25 (comun),1294,0.5370343090316596,0.35601777128940354
faster_rcnn,bbox,0.4 (operativo),933,0.5182134622341531,0.34660585179666875
yolov8_seg,segm,0.001 (estandar),12839,0.6570898567519626,0.466395108015101
yolov8_seg,segm,0.25 (comun),784,0.5923549891729493,0.43393443846621116
yolov8_seg,segm,0.25 (operativo),784,0.5923549891729493,0.43393443846621116
mask_rcnn,segm,0.001 (estandar),13926,0.5660280078145753,0.38117589031715676
mask_rcnn,segm,0.25 (comun),1263,0.528876904022696,0.36318959119421784
mask_rcnn,segm,0.4 (operativo),1014,0.5144284334472995,0.356017305559348
