epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6174,1.50197,3.08206,1.674,0.46229,0.44114,0.39425,0.26139,1.66653,2.75129,1.81487,0.000332386,0.000332386,0.000332386
2,135.505,1.4999,2.50968,1.6503,0.5381,0.40876,0.407,0.25118,1.67437,2.35527,1.79726,0.000652538,0.000652538,0.000652538
3,198.029,1.49376,2.36989,1.62962,0.36721,0.45202,0.40033,0.27696,1.67349,2.88351,1.90727,0.000959491,0.000959491,0.000959491
4,259.306,1.5026,2.2618,1.64802,0.46498,0.46484,0.46444,0.33585,1.58293,2.38941,1.74354,0.0009406,0.0009406,0.0009406
5,320.863,1.46982,2.17356,1.62892,0.54369,0.51178,0.51385,0.3735,1.55772,2.07896,1.68412,0.0009208,0.0009208,0.0009208
6,381.796,1.42849,2.09172,1.59278,0.54964,0.5214,0.5155,0.37506,1.54551,2.02071,1.64839,0.000901,0.000901,0.000901
7,443.09,1.41283,2.00712,1.56921,0.51662,0.51916,0.51535,0.38462,1.50199,2.05265,1.69871,0.0008812,0.0008812,0.0008812
8,504.079,1.37311,1.95714,1.55574,0.51927,0.52754,0.53182,0.39842,1.48536,1.97037,1.6439,0.0008614,0.0008614,0.0008614
9,565.527,1.35794,1.89779,1.5345,0.62941,0.54235,0.56701,0.41205,1.44784,1.8583,1.61556,0.0008416,0.0008416,0.0008416
10,626.356,1.33658,1.88135,1.53646,0.58453,0.54545,0.55622,0.42233,1.4562,1.87315,1.62276,0.0008218,0.0008218,0.0008218
11,686.529,1.2963,1.7811,1.4915,0.6091,0.56308,0.57026,0.43253,1.44754,1.80412,1.59826,0.000802,0.000802,0.000802
12,746.693,1.28891,1.74561,1.47929,0.65065,0.56732,0.59132,0.44937,1.38138,1.70154,1.52265,0.0007822,0.0007822,0.0007822
13,806.901,1.29553,1.74624,1.48094,0.57579,0.57107,0.58558,0.44283,1.35938,1.73419,1.53928,0.0007624,0.0007624,0.0007624
14,867.445,1.26529,1.70392,1.45839,0.59114,0.58402,0.59474,0.45584,1.39504,1.74505,1.56614,0.0007426,0.0007426,0.0007426
15,927.879,1.26476,1.67775,1.45654,0.57682,0.57269,0.57912,0.44783,1.35797,1.70931,1.51541,0.0007228,0.0007228,0.0007228
16,988.123,1.24184,1.64549,1.44478,0.64287,0.58122,0.61145,0.47406,1.3543,1.68879,1.51526,0.000703,0.000703,0.000703
17,1048.74,1.24679,1.63399,1.43372,0.64445,0.57636,0.60502,0.46912,1.33331,1.68072,1.50363,0.0006832,0.0006832,0.0006832
18,1108.79,1.21495,1.58335,1.41052,0.72414,0.60042,0.64262,0.49364,1.31986,1.53581,1.46793,0.0006634,0.0006634,0.0006634
19,1168.95,1.20405,1.55823,1.41179,0.66742,0.59708,0.63434,0.48816,1.3358,1.57443,1.49695,0.0006436,0.0006436,0.0006436
20,1229.53,1.21372,1.54181,1.41133,0.63009,0.62761,0.63053,0.49551,1.31199,1.55279,1.49103,0.0006238,0.0006238,0.0006238
21,1289.63,1.17464,1.51174,1.38615,0.63718,0.60537,0.61905,0.48124,1.32264,1.59741,1.49837,0.000604,0.000604,0.000604
22,1416.94,1.17886,1.49993,1.38752,0.65365,0.6166,0.64221,0.49459,1.32504,1.53982,1.47501,0.0005842,0.0005842,0.0005842
23,1474.91,1.1661,1.44953,1.37285,0.59164,0.64283,0.63616,0.4944,1.30111,1.5656,1.46643,0.0005644,0.0005644,0.0005644
24,1532.5,1.16321,1.45284,1.37473,0.61985,0.64015,0.63943,0.49738,1.30293,1.55069,1.48194,0.0005446,0.0005446,0.0005446
25,1590.28,1.14942,1.431,1.36962,0.66063,0.64159,0.65792,0.51093,1.24421,1.47345,1.41607,0.0005248,0.0005248,0.0005248
26,1648.11,1.1266,1.41687,1.35091,0.63219,0.64943,0.65287,0.50946,1.27397,1.48103,1.44022,0.000505,0.000505,0.000505
27,1705.68,1.11663,1.37736,1.34848,0.66863,0.62115,0.65027,0.50727,1.30927,1.53988,1.47146,0.0004852,0.0004852,0.0004852
28,1763.58,1.1225,1.37263,1.34462,0.71038,0.62257,0.66672,0.52237,1.26157,1.44014,1.42335,0.0004654,0.0004654,0.0004654
29,1821.03,1.09534,1.3458,1.33242,0.66855,0.64107,0.66473,0.52508,1.24646,1.4508,1.42139,0.0004456,0.0004456,0.0004456
30,1878.45,1.09834,1.3412,1.3309,0.67844,0.64964,0.6722,0.52487,1.26725,1.45081,1.4381,0.0004258,0.0004258,0.0004258
31,1936.19,1.0689,1.27448,1.30718,0.66769,0.64755,0.66929,0.5245,1.26854,1.43812,1.43228,0.000406,0.000406,0.000406
32,1993.96,1.08562,1.28839,1.31493,0.68349,0.6368,0.66726,0.52426,1.25886,1.4302,1.42827,0.0003862,0.0003862,0.0003862
33,2051.71,1.0631,1.2608,1.2968,0.66708,0.65755,0.67363,0.534,1.23365,1.40905,1.4114,0.0003664,0.0003664,0.0003664
34,2109.23,1.0657,1.25981,1.29586,0.68358,0.65479,0.67809,0.53183,1.25554,1.40242,1.41799,0.0003466,0.0003466,0.0003466
35,2166.78,1.05433,1.23839,1.29962,0.67461,0.67385,0.6892,0.53941,1.23699,1.37673,1.40122,0.0003268,0.0003268,0.0003268
36,2224.38,1.04525,1.20941,1.28349,0.67924,0.6686,0.68893,0.54089,1.24246,1.36902,1.40756,0.000307,0.000307,0.000307
37,2281.99,1.03412,1.18884,1.27636,0.72938,0.6524,0.69832,0.5498,1.22929,1.34343,1.40433,0.0002872,0.0002872,0.0002872
38,2340.27,1.03536,1.1766,1.27897,0.70279,0.66822,0.68478,0.53627,1.24261,1.36647,1.40615,0.0002674,0.0002674,0.0002674
39,2397.98,1.02884,1.15818,1.26866,0.72059,0.65532,0.69095,0.54448,1.21494,1.34243,1.38853,0.0002476,0.0002476,0.0002476
40,2455.28,1.01364,1.14459,1.26004,0.72306,0.65421,0.69691,0.54868,1.23693,1.36763,1.40856,0.0002278,0.0002278,0.0002278
41,2530.07,1.02801,1.10176,1.27179,0.6865,0.67313,0.68329,0.53488,1.25564,1.37277,1.4365,0.000208,0.000208,0.000208
42,2587.12,0.98242,1.03149,1.23482,0.73152,0.65552,0.6964,0.54927,1.24493,1.35358,1.42032,0.0001882,0.0001882,0.0001882
43,2644.42,0.97017,1.00814,1.22777,0.71766,0.66955,0.69675,0.5451,1.24843,1.34754,1.42246,0.0001684,0.0001684,0.0001684
44,2701.34,0.95548,0.98611,1.21425,0.72715,0.66885,0.69928,0.55128,1.23015,1.33705,1.40822,0.0001486,0.0001486,0.0001486
45,2758.67,0.94557,0.96898,1.21182,0.73696,0.66741,0.70394,0.55612,1.22129,1.32061,1.40569,0.0001288,0.0001288,0.0001288
46,2815.82,0.94216,0.94461,1.19837,0.74906,0.66382,0.70627,0.55665,1.22111,1.31409,1.40991,0.000109,0.000109,0.000109
47,2879,0.92832,0.92602,1.18796,0.7311,0.69271,0.70376,0.55621,1.22491,1.3137,1.41431,8.92e-05,8.92e-05,8.92e-05
