epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.524,1.49134,3.18348,3.03517,1.6131,0.42707,0.44183,0.43059,0.29332,0.42533,0.43235,0.42249,0.28822,1.5849,3.21157,2.33011,1.71639,0.00033286,0.00033286,0.00033286
2,235.198,1.49807,2.91541,2.50995,1.60436,0.483,0.45255,0.43198,0.28737,0.49491,0.44993,0.42631,0.27847,1.60839,3.14005,2.48933,1.74152,0.000653003,0.000653003,0.000653003
3,347.761,1.50356,2.87224,2.35964,1.60443,0.34021,0.44008,0.4064,0.27532,0.36321,0.41943,0.40044,0.26548,1.60997,2.92756,2.20938,1.70658,0.000959945,0.000959945,0.000959945
4,457.672,1.48439,2.85208,2.25484,1.58165,0.46417,0.53339,0.48089,0.34092,0.50674,0.50984,0.47791,0.33597,1.58586,2.88412,2.1656,1.69352,0.0009406,0.0009406,0.0009406
5,567.171,1.43094,2.77026,2.14442,1.55539,0.66,0.45291,0.48231,0.33914,0.65886,0.44192,0.47451,0.33337,1.5992,2.79201,2.11479,1.72686,0.0009208,0.0009208,0.0009208
6,676.717,1.4089,2.70339,2.04635,1.53086,0.56303,0.53265,0.55313,0.40696,0.56092,0.52783,0.54646,0.40477,1.47189,2.64596,1.93152,1.59307,0.000901,0.000901,0.000901
7,786.446,1.38181,2.65809,1.99615,1.50343,0.56291,0.54227,0.54827,0.40658,0.56645,0.53846,0.54663,0.39983,1.48009,2.63361,1.91075,1.62989,0.0008812,0.0008812,0.0008812
8,895.584,1.33544,2.58782,1.91738,1.46756,0.57074,0.55157,0.56177,0.4332,0.58515,0.54708,0.55209,0.42064,1.39961,2.58048,1.85287,1.54617,0.0008614,0.0008614,0.0008614
9,1004.98,1.3292,2.5515,1.86461,1.46817,0.56379,0.57743,0.58213,0.43851,0.61645,0.55825,0.57685,0.42969,1.3789,2.5464,1.73452,1.51991,0.0008416,0.0008416,0.0008416
10,1114.71,1.30484,2.53119,1.83332,1.44994,0.60683,0.55445,0.57874,0.43572,0.62074,0.54464,0.57282,0.42688,1.37057,2.5358,1.75285,1.52718,0.0008218,0.0008218,0.0008218
11,1224.79,1.29418,2.46588,1.79687,1.43435,0.65609,0.56576,0.58944,0.44163,0.64157,0.56552,0.58432,0.43287,1.3997,2.5408,1.71931,1.52894,0.000802,0.000802,0.000802
12,1334.91,1.28158,2.45695,1.75583,1.42019,0.59128,0.57757,0.59049,0.44389,0.59645,0.58164,0.58851,0.44692,1.38555,2.44288,1.7108,1.51767,0.0007822,0.0007822,0.0007822
13,1445.3,1.25331,2.40597,1.6975,1.40566,0.66044,0.57248,0.5969,0.45531,0.67246,0.56899,0.59067,0.44321,1.34816,2.46542,1.67387,1.50636,0.0007624,0.0007624,0.0007624
